frame,torque_per_frame
0,112.97837810664099
1,104.56915787995742
2,96.01176399612363
3,89.56743690028395
4,84.18134416274118
5,79.74371413596022
6,76.13268327033165
7,72.68524926572528
8,69.84205562692449
9,67.4089581089865
10,65.34276450936949
11,63.590739849986875
12,62.11211227350029
13,60.87185186588269
14,59.858142967139216
15,59.005997070648256
16,58.309004631684985
17,57.747148848857734
18,57.302807065327684
19,56.96462499450898
20,56.72072925498259
21,56.55886681229725
22,56.46669189466025
23,56.43261799100634
24,56.446830481630414
25,56.466463955412934
26,56.54741123068682
27,56.64964952966458
28,56.75856621667964
29,56.91787224175675
30,57.197863006270225
31,57.48677021684472
32,57.94791049628171
33,58.40631517183513
34,58.81076487598803
35,59.2232486359937
36,59.64592194662203
37,60.06840036804584
38,60.487261107068804
39,60.90401128642387
40,61.31696219370266
41,61.725717777477485
42,62.13026665826192
43,62.52798473437029
44,62.92033681993521
45,63.305749382304285
46,63.683762151310006
47,64.05270694580678
48,64.40816868056731
49,64.7494766625922
50,65.12240992057752
51,65.46066221405361
52,65.79072248348362
53,66.11068696964628
54,66.42214696985407
55,66.68676225472555
56,67.00735585863822
57,67.30186839420611
58,67.57736806955626
59,67.81877512641775
60,68.10188280792056
61,68.35127350222173
62,68.59301622322289
63,68.82590208890977
64,69.05150335025826
65,69.26937098274503
66,69.48006391215807
67,69.68438716531801
68,69.88118563451293
69,70.03912372053098
70,70.25715196338098
71,70.43650312255465
72,70.61890792155211
73,70.75566314119587
74,70.9436129046604
75,71.10337219078048
76,71.2566195099516
77,71.41106112533691
78,71.55899111248192
79,71.7054520221639
80,71.845309392868
81,71.9854321961033
82,72.11997006152532
83,72.2478970001313
84,72.37387531712251
85,72.50017852515602
86,72.6125873731675
87,72.73948640272343
88,72.84776518705198
89,73.00509187026692
90,73.1207740418374
91,73.24253994539959
92,73.35178315349748
93,73.46378047448285
94,73.57519469623091
95,73.68425078274164
96,73.79026297767864
97,73.89929726251069
98,74.0063033547311
99,74.11907686344523
100,74.2102370169257
101,74.30279425184413
102,74.41509167229646
103,74.51017119572856
104,74.60852377316414
105,74.69915127008343
106,74.8064502328943
107,74.90694398978138
108,75.00832039259265
109,75.11342000145422
110,75.16148940760256
111,75.33472680852803
112,75.45175752524905
113,75.56971529304609
114,75.73205706813206
115,75.80788240985552
116,75.90712646048767
117,75.99790080025389
118,76.10329031859749
119,76.12804447914182
120,76.16266836443162
121,76.17601978414811
122,76.16047566895648
123,76.14714980733717
124,76.10822403099542
125,76.05404765766419
126,75.96226333092162
127,75.91103802682738
128,75.82879346361403
129,75.75642209841573
130,75.66852616854663
131,75.57165226840385
132,75.49862167099337
133,73.78221905205217
134,75.30082667891661
135,75.20876673425559
136,75.11665237125789
137,75.0399321438734
138,73.74406779902071
139,74.88979439748246
140,74.80471207532057
141,74.73183647807213
142,74.66883991112056
143,74.60567439759836
144,74.4936707241938
145,74.48668477470163
146,74.43391266174412
147,74.3807567828971
148,74.32771982264681
149,74.2798271043473
150,74.23083721259582
151,74.18239899538139
152,74.15092105174692
153,74.08554404792187
154,74.0366001810348
155,73.98681073450146
156,73.9359245156498
157,73.88364294715836
158,73.82894568560602
159,73.77459903397889
160,73.71442119524531
161,73.6535158140457
162,73.59696593986803
163,73.53395070065942
164,73.46098239928025
165,73.3962915575115
166,73.32119206672006
167,73.26072963559338
168,73.18774724347418
169,73.05517474603172
170,73.02218572746452
171,72.95511381012683
172,72.8770115178335
173,72.7959331398622
174,72.71315445227137
175,72.62917912044475
176,72.54410015668901
177,72.45800067410568
178,72.3710326147119
179,72.28310335969185
180,72.19455653435196
181,72.10526772592515
182,72.01551010077614
183,71.9252884971983
184,71.83452278651906
185,71.74346913657513
186,71.65221577573209
187,71.56088145672803
188,71.46883531315828
189,71.37184991527363
190,71.24105752392822
191,71.19540480968567
192,71.10049355503745
193,71.0135296983546
194,70.92331555815156
195,70.83669773448264
196,70.73118292262232
197,70.65553252068759
198,70.57194730859644
199,70.47756896406659
200,70.39005232448159
201,70.30336662375764
202,70.21741253580407
203,70.13238650233663
204,70.04834658264971
205,69.96532992188227
206,69.8831343703082
207,69.80208204943713
208,69.72212531912969
209,69.64332718939
210,69.56578975259977
211,69.489538821556
212,69.41469176372837
213,69.3412983827202
214,69.26936917922274
215,69.19901680207661
216,69.13027519851423
217,69.0665499669231
218,68.99803088394874
219,68.9346907866927
220,68.8731848891576
221,68.81366551875493
222,68.7562015596098
223,68.7009444003811
224,68.66659619707578
225,68.59820613205319
226,68.54835531744257
227,68.50158387859409
228,68.45837923912208
229,68.41683748034788
230,68.37847862000129
231,68.34236126837095
232,68.30891329631237
233,68.27844236050628
234,68.25186129028027
235,68.23078466038726
236,68.21748675384387
237,68.18675962038344
238,68.16630421037796
239,68.10609416072288
240,68.14104484825705
241,68.13853233766343
242,68.12705827324294
243,68.12446657199322
244,68.12566387513488
245,68.1334014852116
246,68.14772747658098
247,68.16220640740629
248,68.17559349782348
249,68.16401960848803
250,68.17926987956409
251,68.19675356266058
252,68.21637980174867
253,68.25152828160529
254,68.2740470015307
255,68.2946917523877
256,68.31754036963375
257,68.34488933075266
258,68.37538739064411
259,68.40724316227501
260,68.43871414872007
261,68.47267523255128
262,68.51019636211221
263,68.54801563339835
264,68.58576440172487
265,68.62380062948496
266,68.66241758377126
267,68.70144882056636
268,68.74111478973262
269,68.78101498616763
270,68.821017917426
271,68.86103921372839
272,68.90088677119964
273,68.94048294698791
274,68.97958664233684
275,69.01812902611533
276,69.05612172349598
277,69.09335390034843
278,69.12975020708507
279,69.16190191210704
280,69.19975983893488
281,69.23310857753864
282,69.26497361997917
283,69.285107216061
284,69.32561582028602
285,69.35365633240082
286,69.3802272131451
287,69.39305262255613
288,69.41635404731852
289,69.45022679207524
290,69.4701966453683
291,69.48835773976924
292,69.50265294152071
293,69.51557675812687
294,69.53202481476322
295,69.54278594088834
296,69.55167420399277
297,69.55860167459764
298,69.56362755068247
299,69.59205457555748
300,69.57079458180428
301,69.5692900557477
302,69.56510371084063
303,69.56010337992915
304,69.55367148226344
305,69.54548783610318
306,69.53559082841292
307,69.52385027012376
308,69.51000169281176
309,69.47796612894085
310,69.4787224942224
311,69.46063128873527
312,69.44298047925209
313,69.44871458707875
314,69.39750933933098
315,69.41272120289392
316,69.35531423671947
317,69.32283034701902
318,69.29567071774781
319,69.2672588992881
320,69.23806207059819
321,69.23787271637852
322,69.17677122941112
323,69.14493959504769
324,69.1128972699043
325,69.07981574787084
326,69.04641259970356
327,69.01197960229888
328,68.97727456023227
329,68.94211386768886
330,68.9066672312984
331,68.87090110880587
332,68.81614552550084
333,68.79815906714474
334,68.7612161527826
335,68.72516820217037
336,68.68823356739986
337,68.65125341365679
338,68.61507583729843
339,68.57817034169175
340,68.54053576318832
341,68.50414358614454
342,68.46825638568916
343,68.43314472514467
344,68.39917855445505
345,68.36674683959174
346,68.3356140703463
347,68.3053868879137
348,68.23173407303457
349,68.19246480082931
350,68.15298373269498
351,68.113099377401
352,68.07280239237977
353,68.06986088552709
354,68.01852023764329
355,67.96787167937774
356,67.91881566641064
357,67.8714470126572
358,67.8254962223908
359,67.78029365511043
360,67.73541697392898
361,67.6901833905201
362,67.6444098350112
363,67.5978558773513
364,67.55057156040385
365,67.50266176477459
366,67.45381266011172
367,67.40396836450569
368,67.35318678444824
369,67.30137589667521
370,67.24878483297043
371,67.19502925325506
372,67.18973127741191
373,67.08407750187479
374,67.02691748622294
375,66.96873119209644
376,66.9090698197044
377,66.84821157686295
378,66.78602967587338
379,66.71251732161545
380,66.63303790767992
381,66.59178303531017
382,66.52424033512503
383,66.45527132251547
384,66.38496229965374
385,66.3133868877006
386,66.24021517269719
387,66.1655505058416
388,66.08936822299948
389,66.0116757141384
390,65.93265744702322
391,65.86110694768321
392,65.88636100134072
393,65.9258892902761
394,65.96380042330671
395,66.00018016158347
396,66.03449000977497
397,66.06693072137024
398,66.09728352525428
399,66.12572223379078
400,66.15235790975524
401,66.17678816910029
402,66.19897060457221
403,58.44244532788459
404,44.765064715511514
405,37.67857717597618
406,34.25715393406719
407,19.58002632295154
408,24.925215226063187
409,31.064639363828938
410,37.6072965201906
411,44.138328877858136
412,50.48812119136111
413,59.03144854462508
414,68.41920467759672
415,75.63424156101216
416,75.29118825362791
417,75.15831944213976
418,72.80409033436462
419,75.28047490863531
420,77.51540705036741
421,79.29955576566874
422,81.21014941093617
423,82.71120019592439
424,83.98114809633441
425,85.08556342041194
426,85.95371595308022
427,86.65086055449703
428,87.20097138477686
429,87.59654603078475
430,87.87123684877307
431,88.04767252521057
432,88.13702016482104
433,88.1545003407301
434,88.11085318634593
435,88.00719013631596
436,87.89218022115013
437,87.74699778534885
438,87.54831906809801
439,87.30462912889728
440,87.02307055645497
441,86.74254396239651
442,86.4972385368339
443,86.19815703877478
444,85.91412074205758
445,85.65079284409774
446,85.35168555638865
447,85.0761532730846
448,84.80676064709382
449,84.54763181480095
450,84.30952337189032
451,84.0871829651445
452,83.88287787939115
453,83.69733251714258
454,83.53710712178685
455,83.41370208808021
456,83.28333699507263
457,83.17495386462497
458,83.10863621024544
459,83.07058223329123
460,83.21019909041348
461,81.17392865214406
462,82.44885360809312
463,83.22868365259154
